domain,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
svs.gsfc.nasa.gov,133934,319779,105901,2.387586423,164.2319725,141201
freshempire.betobaccofree.hhs.gov,131857,179616,112130,1.362202993,37.48032338,130819
nhsc.hrsa.gov,131857,449560,93442,3.409451148,126.8819175,132895
kids.niehs.nih.gov,130819,258523,104863,1.976188474,135.7458091,129781
ngs.noaa.gov,130819,384150,76830,2.93650005,185.8012827,130819
ph.usembassy.gov,130819,270982,102786,2.071426933,139.8092938,126666
espanol.womenshealth.gov,129781,153660,124589,1.183994575,37.94386698,129781
apps.usfa.fema.gov,128742,733001,78907,5.693565425,255.3312361,129781
doleta.gov,127704,288632,109016,2.26016413,163.4878782,125628
cl.usembassy.gov,126666,249179,107977,1.967212985,146.6555192,127704
fr.usembassy.gov,126666,341582,94480,2.696714193,229.7947358,125628
prdfaq-f2.usps.com,126666,147431,112130,1.163935073,68.71300902,102786
wonder.cdc.gov,126666,504587,124589,3.983602545,96.50805267,139125
iaspub.epa.gov,125628,560652,72677,4.462794918,420.527478,128742
it.usembassy.gov,125628,384150,92404,3.057837425,159.6606091,125628
ncei.noaa.gov,125628,443330,111092,3.528910752,250.8421132,121475
ng.usembassy.gov,125628,288632,68524,2.297513293,236.5694352,121475
glerl.noaa.gov,123551,171310,49836,1.386552921,68.73954076,122513
nicsezcheckfbi.gov,123551,140163,41530,1.134454598,73.60508616,122513
pubs.er.usgs.gov,123551,263714,117322,2.134454598,133.2185737,129781
rethinkingdrinking.niaaa.nih.gov,123551,209725,120436,1.697477155,64.85718448,127704
rrb.gov,120436,313550,99671,2.603457438,145.9659321,111092
chem.nlm.nih.gov,119398,235681,74754,1.973910786,172.9827552,118360
gsaelibrary.gsa.gov,119398,718465,43606,6.017395601,208.8175681,131857
ntrs.nasa.gov,118360,438139,90327,3.701748902,237.6751521,119398
nutrition.gov,116283,184807,105901,1.589286482,55.42874711,116283
search.justice.gov,116283,233605,70601,2.008935098,83.33062442,105901
careers.fema.gov,114207,238796,95518,2.090905111,159.2998328,116283
betobaccofree.hhs.gov,113169,145354,97595,1.284397671,87.69696648,114207
kr.usembassy.gov,113169,254370,71639,2.247700342,149.7426327,113169
riley.army.mil,113169,234643,40492,2.073385821,258.9165938,113169
trade.gov,113169,212840,70601,1.880727054,159.8343451,107977
uscg.mil,113169,197266,96557,1.743109862,125.2106054,101748
findit.state.gov,112130,235681,71639,2.10185499,34.50011594,98633
gab.usps.com,112130,173387,85136,1.546303398,95.50032997,100710
nap.nwcg.gov,112130,124589,13497,1.111112102,11.83337198,111092
nationalmap.gov,112130,256446,95518,2.287041826,132.2041648,106939
applicationmanager.gov,111092,1434854,80983,12.91590754,642.2064505,111092
lovell.fhcc.va.gov,111092,166119,15574,1.495328196,401.4865067,112130
usafa.af.mil,111092,173387,47759,1.560751449,173.4488262,106939
ifap.ed.gov,110054,481745,64371,4.377351119,268.1318353,109016
livertox.nih.gov,110054,137048,99671,1.24527959,19.35846948,113169
mcc.gov,110054,194152,101748,1.764152143,52.90560997,110054
transit.dot.gov,110054,508740,64371,4.622639795,309.1412307,107977
archive.epa.gov,109016,205572,116283,1.885704851,259.4277537,98633
gettested.cdc.gov,109016,253332,91366,2.32380568,175.6280179,112130
netc.navy.mil,107977,228414,64371,2.115394945,143.8563213,104863
ssai.usajobs.gov,106939,264752,36339,2.475729154,266.8547864,33224
gps.gov,105901,206611,98633,1.950982521,122.7646198,105901
search.nih.gov,105901,223223,75792,2.107846007,131.254804,105901
esrl.noaa.gov,104863,261638,86174,2.495045917,162.5242555,105901
nws.noaa.gov,104863,203496,98633,1.94058915,70.93048072,104863
2016.export.gov,103824,220108,92404,2.120010787,174.3107278,106939
hq.nasa.gov,103824,158851,56065,1.530002697,129.1605409,102786
cu.usembassy.gov,102786,184807,76830,1.797978324,101.6163485,102786
exchanges.state.gov,102786,403877,106939,3.92929971,223.9297083,99671
newsinhealth.nih.gov,102786,150545,96557,1.464644991,102.9799875,104863
usar.army.mil,102786,302129,85136,2.939398362,160.5962582,102786
founders.archives.gov,101748,186884,84098,1.836733892,135.5917659,100710
coast.noaa.gov,100710,171310,72677,1.701022739,82.721408,96557
occ.gov,100710,158851,72677,1.577311091,105.5151524,96557
vn.usembassy.gov,100710,228414,74754,2.268036938,199.0715718,103824
optn.transplant.hrsa.gov,99671,425680,64371,4.2708511,223.8239408,96557
th.usembassy.gov,98633,254370,71639,2.578954305,234.4320866,96557
bia.gov,97595,294861,71639,3.021271582,204.9786567,97595
blogs.cdc.gov,97595,147431,94480,1.510640914,95.29784313,102786
foreignlaborcert.doleta.gov,97595,207649,67486,2.127660228,122.3935755,98633
itis.gov,97595,507701,75792,5.20212101,188.8510067,97595
phmsa.dot.gov,97595,315626,76830,3.234038629,91.93614427,100710
search.treasury.gov,97595,300053,64371,3.074471028,24.35105282,129781
2001-2009.state.gov,96557,129781,95518,1.344086912,66.97830297,95518
pe.usembassy.gov,96557,221146,70601,2.290315565,406.6762638,92404
postalpro.usps.com,96557,236720,67486,2.451608894,144.3974336,79945
es.usembassy.gov,95518,266829,59180,2.79349442,306.0558848,96557
data.medicare.gov,94480,343659,44645,3.637372989,267.9786939,86174
il.usembassy.gov,94480,241911,64371,2.560446655,236.2093776,90327
usaspending.gov,94480,411145,47759,4.351661727,225.7258362,94480
collegescorecard.ed.gov,93442,241911,66448,2.588889365,119.8888829,87213
nationalmuseum.af.mil,93442,214917,85136,2.300004281,67.15555104,92404
swpa.gov,93442,103824,14535,1.111106355,38.44443612,93442
eol.jsc.nasa.gov,92404,196228,73715,2.123587723,131.8760443,102786
reginfo.gov,92404,214917,50874,2.325840873,87.84245271,92404
securityawareness.usalearning.gov,92404,180655,69562,1.955056058,208.1117917,92404
docsteach.org,91366,393495,62295,4.306799028,246.4191165,91366
fpds.gov,91366,496281,41530,5.431790819,328.5663923,91366
innovation.cms.gov,91366,192075,72677,2.102259046,142.0446775,99671
organdonor.gov,91366,223223,80983,2.443173609,235.9191712,91366
zh-tools.usps.com,91366,178578,29071,1.95453451,82.22682398,85136
globaldossier.uspto.gov,90327,115245,34262,1.275864359,69.7358265,89289
livertox.nlm.nih.gov,90327,110054,83060,1.218395386,51.71278798,85136
www1.eeoc.gov,90327,123551,80983,1.367819146,93.87383617,77868
datawarehouse.hrsa.gov,89289,752727,49836,8.430232167,423.7209959,87213
fra.dot.gov,89289,194152,55027,2.174422381,142.1395581,88251
ies.ed.gov,89289,299014,76830,3.348833563,181.8604979,95518
nasajobs.nasa.gov,89289,278249,90327,3.116274121,110.1976951,97595
nifa.usda.gov,89289,214917,75792,2.406981823,104.3721063,89289
fletc.gov,88251,399724,72677,4.5293991,187.3995082,88251
jwst.nasa.gov,88251,181693,90327,2.058820863,99.18797521,91366
tsunami.gov,88251,105901,64371,1.199997734,36.34108395,88251
ve.usembassy.gov,88251,208687,64371,2.364698417,271.7169437,88251
cesdata.bls.gov,87213,353003,49836,4.047596115,149.8920459,87213
fas.usda.gov,87213,558575,80983,6.404721773,203.3679383,90327
npdb.hrsa.gov,87213,155737,46721,1.785708553,250.7367365,61256
prodpx-promotool.usps.com,87213,119398,74754,1.369039019,45.26165824,79945
connect.acf.hhs.gov,86174,127704,3115,1.481931905,386.2542762,86174
occ.treas.gov,86174,144316,66448,1.674704667,113.9762805,85136
pl.usembassy.gov,86174,220108,63333,2.554227493,239.4465616,83060
search.dhs.gov,86174,121475,55027,1.409647922,40.13266182,77868
airuniversity.af.mil,85136,192075,62295,2.256096129,119.3537047,85136
findahealthcenter.hrsa.gov,85136,123551,69562,1.451219226,51.04880427,86174
invasivespeciesinfo.gov,85136,187922,67486,2.207315354,131.3171279,86174
amberalert.gov,84098,121475,75792,1.444445766,24.64191776,84098
cnpp.usda.gov,84098,179616,79945,2.135793955,89.86398012,82021
hepatitis.va.gov,84098,160928,76830,1.913577017,54.55542343,84098
exoplanets.nasa.gov,83060,216993,79945,2.612484951,155.1991572,83060
fisheries.noaa.gov,83060,181693,59180,2.18749097,70.23711775,75792
nssl.noaa.gov,83060,164043,74754,1.97499398,156.3116542,83060
fsd.gov,82021,435024,47759,5.303812438,199.5070653,79945
moneyfactory.gov,82021,247102,67486,3.012667488,77.78510381,82021
store.samhsa.gov,82021,456828,70601,5.569646798,272.4187342,86174
wpafb.af.mil,82021,125628,43606,1.531656527,151.0132161,80983
arlweb.msha.gov,80983,551308,42568,6.807700382,260.5514738,67486
my.uspto.gov,80983,149507,23880,1.846152896,261.1412148,76830
tt.usembassy.gov,80983,196228,33224,2.423076448,429.3336503,65409
ua.usembassy.gov,80983,169234,45683,2.089747231,170.9360236,76830
orf.od.nih.gov,79945,116283,6229,1.454537495,259.3370567,78907
sbx.mcc.gov,79945,79945,79945,1,0,79945
americanenglish.state.gov,78907,316665,64371,4.013142053,328.3929563,79945
au.usembassy.gov,77868,212840,49836,2.733343607,247.9077028,73715
ec.usembassy.gov,77868,288632,57103,3.706683105,290.441221,77868
gsaxcess.gov,77868,3617243,15574,46.45352391,2865.61201,77868
marineband.marines.mil,77868,117322,60218,1.506677968,224.1209354,76830
oceantoday.noaa.gov,77868,102786,69562,1.320003082,42.81351775,76830
search.samhsa.gov,77868,179616,38415,2.306672831,136.4938999,70601
iqrs.npdb.hrsa.gov,76830,196228,24918,2.554054406,317.8246648,102786
saturn.jpl.nasa.gov,76830,238796,72677,3.108108812,96.91901601,79945
29palms.marines.mil,75792,114207,49836,1.506847688,143.0544912,75792
e-publishing.af.mil,75792,98633,50874,1.30136426,65.04095419,72677
gibill.custhelp.com,75792,304206,45683,4.013695377,240.7529027,74754
m.waterdata.usgs.gov,75792,88251,25956,1.164384104,50.58892759,68524
pendleton.marines.mil,75792,127704,61256,1.684927169,101.3833386,76830
